Nomor Asset Utama;Profit Center;Profit Center Text;Cost Center Baru;Deskripsi Cost Center Baru;Nama Cabang/Kawasan;Kode Plant;Periode/Bulan;Tahun Buku;Nomor Asset Asal;Nomor Asset;Sub-number;GL Account Aset;Asset Class;Asset Class Name;Deskripsi Kelompok Aset;Deskripsi Status Aset Tetap;Asset Main No. Text;Akuisisi;Keterangan Asset;Tgl Akusisi;Tgl Perolehan;Tgl Mulai Penyusutan;Masa Manfaat;Sisa Manfaat Aset;Nilai Perolehan Awal Tahun;Nilai Residu %;Nilai Residu Rp;Nilai Perolehan s.d Tahun Berjalan;Adjusment Nilai Perolehan;Nilai Buku Awal Tahun;Nilai Buku s.d Tahun Berjalan;Penyusutan/Bulan;Penyusutan s.d Bulan Berjalan;Penyusutan Tahun Lalu;Penyusutan/Tahun;Akumulasi Penyusutan Tahun Lalu;Adjusment Akm Penyusutan;Penghapusan;Asset Shutdown;Akumulasi Penyusutan;Additional Description;Serial number;Alamat;GL Account Exp. Depre.
120401000001-0;12201;REGION JATIM;1220105511;SubDiv of Prprty&Oth;Sub Regional Jawa Timur;1020;12;2025;;120401000001;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/3346323081;0;Tanah Luas 2.035.458 M2 (HPL No: 1/K, GS: 5727);31/12/1998;31/12/1998;31/01/1999;0;0;2.098.596.761;0,00000000000;0;2.098.596.761;0;2.098.596.761;2.098.596.761;0;0;0;0;0;0;0;;0;241.01.006092200;;Daerah Lainnya;5040101000
120401000002-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;;120401000002;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/43177970;0;Tanah Pelabuhan Luas 27.070 M2;31/12/1998;31/12/1998;31/01/1999;0;0;43.177.970;0,00000000000;0;43.177.970;0;43.177.970;43.177.970;0;0;0;0;0;0;0;;0;241.01.00202415315300;;Pt Semen Gresik/Kel.Sidorukun;5040101000
120401000003-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;;120401000003;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/109524024;0;Tanah Pelabuhan Luas 88.220 M2;31/12/1998;31/12/1998;31/01/1999;0;0;109.524.024;0,00000000000;0;109.524.024;0;109.524.024;109.524.024;0;0;0;0;0;0;0;;0;241.01.00202515415400;;Pt.Nusantara Plywood/K.Hendro;5040101000
120401000004-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;120401000005;120401000004;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/185068724;0;Tanah Pelabuhan Luas 127.980 M2 (HPL No 11);01/12/1993;31/12/1998;31/01/1999;0;0;1.848.808.724;0,00000000000;0;1.848.808.724;0;1.848.808.724;1.848.808.724;0;0;0;0;0;0;0;;0;241.01.00202615515500;;Pt.Sm Indah Plywood/Krgkiring;5040101000
120401000006-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;120401000006;120401000006;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/120030000;0;Tanah Reklamasi;27/04/2022;01/01/1993;01/02/1993;0;0;2.557.246.100;0,00000000000;0;2.557.246.100;0;2.557.246.100;2.557.246.100;0;0;0;0;0;0;0;;0;241.01.00203917117100;;Gresik;5040101000
120401000007-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;;120401000007;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/1089837100;0;Tanah Urugan Dip;01/09/1994;01/09/1994;01/10/1994;0;0;1.089.837.100;0,00000000000;0;1.089.837.100;0;1.089.837.100;1.089.837.100;0;0;0;0;0;0;0;;0;241.01.00204417617600;;Gresik;5040101000
120401000008-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;120401000008;120401000008;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/1541042493;0;Urugan Tanah Dip;27/04/2022;01/01/1998;01/02/1998;0;0;2.995.429.693;0,00000000000;0;1.850.637.741;0;2.995.429.693;1.850.637.741;0;0;0;0;0;0;0;;0;241.01.00207421721700;;Gresik;5040101000
120401000009-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;120401000009;120401000009;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/2600263000;0;Urugan Tanah Dip;27/04/2022;01/01/1998;01/02/1998;0;0;4.573.763.000;0,00000000000;0;1.410.359.623;0;4.573.763.000;1.410.359.623;0;0;0;0;0;0;0;;0;241.01.00207722022000;;Gresik;5040101000
120401000010-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;;120401000010;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/301804575;0;Reklamasi Sumber Mas, 54.091,25 M2;01/03/2000;01/03/2000;01/04/2000;0;0;301.804.575;0,00000000000;0;301.804.575;0;301.804.575;301.804.575;0;0;0;0;0;0;0;;0;241.01.00208222522500;;Cabang Gresik;5040101000
120401000011-0;12209;GRESIK;1220902111;Pelayanan Operasi;Terminal Gresik;1031;12;2025;;120401000011;0;1204010000;120401;PI - Tanah;Tanah Hak Pengelolaan;Aset Tetap Pemilikan Langsung;B/660598750;0;Reklamasi Nusantara Playwood, Luas 20.205 M2;01/04/2000;01/04/2000;01/05/2000;0;0;660.598.750;0,00000000000;0;660.598.750;0;660.598.750;660.598.750;0;0;0;0;0;0;0;;0;241.01.00208322622600;;Cabang Gresik;5040101000
